Unnamed: 0,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1705636173,0,0,141.0,0.0,0
1,1705636174,0,0,134.0,0.0,1
2,1705636175,0,0,131.0,0.0,2
3,1705636176,0,0,130.0,0.0,3
4,1705636177,0,0,129.0,0.0,4
5,1705636178,0,0,128.0,0.0,5
6,1705636179,0,0,128.0,0.0,6
7,1705636180,0,0,128.0,0.0,7
8,1705636181,0,0,128.0,0.0,8
9,1705636182,0,0,129.0,0.0,9
10,1705636183,0,0,128.0,0.0,10
11,1705636184,0,0,128.0,0.0,11
12,1705636185,0,0,128.0,0.0,12
13,1705636186,0,0,128.0,0.0,13
14,1705636187,0,0,127.0,0.0,14
15,1705636188,0,0,127.0,0.0,15
16,1705636189,0,0,127.0,0.0,16
17,1705636190,0,0,126.0,0.0,17
18,1705636191,0,0,126.0,0.0,18
19,1705636192,0,0,125.0,0.0,19
20,1705636193,0,0,125.0,0.0,20
21,1705636194,0,0,125.0,0.0,21
22,1705636195,0,0,125.0,0.0,22
23,1705636196,0,0,125.0,11.93,23
24,1705636197,0,0,125.0,11.93,24
25,1705636198,0,0,124.0,11.93,25
26,1705636199,0,0,124.0,11.93,26
27,1705636200,0,0,124.0,11.96,27
28,1705636201,0,0,123.0,11.96,28
29,1705636202,0,0,123.0,11.96,29
30,1705636203,0,0,123.0,11.96,30
31,1705636204,0,0,123.0,11.96,31
