,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
5928,1707179024.4,7.327598571777344,,0.0
5929,1707179024.45,7.164085388183594,,0.04999995231628418
5930,1707179024.5,6.2493896484375,,0.09999990463256836
5931,1707179024.55,5.539100646972656,,0.14999985694885254
5932,1707179024.6,4.795600891113281,,0.19999980926513672
5933,1707179024.65,4.473663330078125,,0.25
5934,1707179024.7,4.126190185546875,,0.2999999523162842
5935,1707179024.75,3.870689392089844,,0.34999990463256836
5936,1707179024.8,3.47210693359375,,0.39999985694885254
5937,1707179024.85,3.2753753662109375,,0.4499998092651367
5938,1707179024.9,3.0454254150390625,,0.5
5939,1707179024.95,2.90234375,,0.5499999523162842
5940,1707179025.0,2.8333587646484375,,0.5999999046325684
5941,1707179025.05,3.0428695678710938,,0.6499998569488525
5942,1707179025.1,3.8144760131835938,,0.6999998092651367
5943,1707179025.15,4.417457580566406,,0.75
5944,1707179025.2,5.2146148681640625,,0.7999999523162842
5945,1707179025.25,5.687294006347656,,0.8499999046325684
5946,1707179025.3,6.3464813232421875,,0.8999998569488525
5947,1707179025.35,6.81916046142578,,0.9499998092651367
5948,1707179025.4,7.583099365234375,,1.0
5949,1707179025.45,8.065994262695312,,1.0499999523162842
5950,1707179025.5,8.341934204101562,,1.0999999046325684
5951,1707179025.55,7.8283843994140625,,1.1499998569488525
5952,1707179025.6,6.6173095703125,,1.1999998092651367
5953,1707179025.65,6.15740966796875,,1.25
5954,1707179025.7,5.965789794921875,,1.2999999523162842
5955,1707179025.75,5.968345642089844,,1.3499999046325684
5956,1707179025.8,5.8584747314453125,,1.3999998569488525
5957,1707179025.85,5.71794891357422,,1.4499998092651367
5958,1707179025.9,5.597869873046875,,1.5
5959,1707179025.95,5.516105651855469,,1.5499999523162842
5960,1707179026.0,5.296379089355469,,1.5999999046325684
5961,1707179026.05,5.09197998046875,,1.6499998569488525
5962,1707179026.1,4.7189483642578125,,1.6999998092651367
5963,1707179026.15,4.61164093017578,,1.75
5964,1707179026.2,4.741943359375,,1.7999999523162842
5965,1707179026.25,4.803260803222656,,1.8499999046325684
5966,1707179026.3,4.72150421142578,,1.8999998569488525
5967,1707179026.35,4.639739990234375,,1.9499998092651367
5968,1707179026.4,4.522209167480469,,2.0
5969,1707179026.45,4.402130126953125,,2.049999952316284
5970,1707179026.5,4.054649353027344,,2.0999999046325684
5971,1707179026.55,3.722496032714844,,2.1499998569488525
5972,1707179026.6,3.2549285888671875,,2.1999998092651367
5973,1707179026.65,3.0198745727539062,,2.25
5974,1707179026.7,2.889564514160156,,2.299999952316284
5975,1707179026.75,3.0990753173828125,,2.3499999046325684
5976,1707179026.8,3.880905151367187,,2.3999998569488525
5977,1707179026.85,4.522209167480469,,2.4499998092651367
5978,1707179026.9,5.383247375488281,,2.5
5979,1707179026.95,5.8814697265625,,2.549999952316284
5980,1707179027.0,6.706733703613281,,2.5999999046325684
5981,1707179027.05,7.304603576660157,,2.6499998569488525
5982,1707179027.1,8.111984252929688,,2.6999998092651367
5983,1707179027.15,8.410919189453125,,2.75
5984,1707179027.2,7.897369384765625,,2.799999952316284
5985,1707179027.25,7.3173828125,,2.8499999046325684
5986,1707179027.3,6.9443511962890625,,2.8999998569488525
5987,1707179027.35,6.803825378417969,,2.9499998092651367
5988,1707179027.4,6.52532958984375,,3.0
5989,1707179027.45,6.338813781738281,,3.049999952316284
5990,1707179027.5,6.152305603027344,,3.0999999046325684
5991,1707179027.55,6.0986480712890625,,3.1499998569488525
5992,1707179027.6,6.01177978515625,,3.1999998092651367
5993,1707179027.65,5.894248962402344,,3.25
5994,1707179027.7,5.7307281494140625,,3.299999952316284
5995,1707179027.75,5.664299011230469,,3.3499999046325684
5996,1707179027.8,5.554435729980469,,3.3999998569488525
5997,1707179027.85,5.370475769042969,,3.4499998092651367
5998,1707179027.9,4.9488983154296875,,3.5
5999,1707179027.95,4.744499206542969,,3.549999952316284
6000,1707179028.0,4.6550750732421875,47.58620834350586,3.5999999046325684
6001,1707179028.05,4.5988616943359375,,3.6499998569488525
6002,1707179028.1,4.437896728515625,,3.6999998092651367
6003,1707179028.15,4.3867950439453125,,3.75
6004,1707179028.2,4.399574279785156,,3.799999952316284
6005,1707179028.25,4.3970184326171875,,3.8499999046325684
6006,1707179028.3,4.376579284667969,,3.8999998569488525
6007,1707179028.35,4.361244201660156,,3.9499998092651367
6008,1707179028.4,4.3740234375,,4.0
6009,1707179028.45,4.3408050537109375,,4.049999952316284
6010,1707179028.5,4.13385009765625,,4.099999904632568
6011,1707179028.55,3.9268951416015625,,4.1499998569488525
6012,1707179028.6,3.645843505859375,,4.199999809265137
6013,1707179028.65,3.589637756347656,,4.25
6014,1707179028.7,3.748046875,,4.299999952316284
6015,1707179028.75,3.8221435546875,,4.349999904632568
6016,1707179028.8,3.722496032714844,,4.3999998569488525
6017,1707179028.85,3.6739501953125,,4.449999809265137
6018,1707179028.9,3.689285278320313,,4.5
6019,1707179028.95,3.699501037597656,,4.549999952316284
6020,1707179029.0,3.684173583984375,,4.599999904632568
6021,1707179029.05,3.6407394409179688,,4.6499998569488525
6022,1707179029.1,3.5487594604492188,,4.699999809265137
6023,1707179029.15,3.5257644653320312,,4.75
6024,1707179029.2,3.515541076660156,,4.799999952316284
6025,1707179029.25,3.5232086181640625,,4.849999904632568
6026,1707179029.3,3.589637756347656,,4.8999998569488525
6027,1707179029.35,3.6024093627929688,,4.949999809265137
6028,1707179029.4,3.5794143676757812,,5.0
6029,1707179029.45,3.5589752197265625,,5.049999952316284
6030,1707179029.5,3.4516677856445312,,5.099999904632568
6031,1707179029.55,3.3009185791015625,,5.1499998569488525
6032,1707179029.6,2.9892120361328125,,5.199999809265137
6033,1707179029.65,2.7771453857421875,,5.25
6034,1707179029.7,2.62640380859375,,5.299999952316284
6035,1707179029.75,2.7388229370117188,,5.349999904632568
6036,1707179029.8,3.3366928100585938,,5.3999998569488525
6037,1707179029.85,3.903900146484375,,5.449999809265137
6038,1707179029.9,4.716392517089844,,5.5
6039,1707179029.95,5.2146148681640625,,5.549999952316284
6040,1707179030.0,5.97344970703125,,5.599999904632568
6041,1707179030.05,6.543220520019531,,5.6499998569488525
6042,1707179030.1,7.575439453125,,5.699999809265137
6043,1707179030.15,8.275505065917969,,5.75
6044,1707179030.2,8.970466613769531,,5.799999952316284
6045,1707179030.25,8.840164184570312,,5.849999904632568
6046,1707179030.3,7.820716857910157,,5.8999998569488525
6047,1707179030.35,7.22540283203125,,5.949999809265137
6048,1707179030.4,6.8753662109375,,6.0
6049,1707179030.45,6.7322845458984375,,6.049999952316284
6050,1707179030.5,6.497230529785156,,6.099999904632568
6051,1707179030.55,6.418022155761719,,6.1499998569488525
6052,1707179030.6,6.223838806152344,,6.199999809265137
6053,1707179030.65,6.08332061767578,,6.25
6054,1707179030.7,6.021995544433594,,6.299999952316284
6055,1707179030.75,5.999000549316406,,6.349999904632568
6056,1707179030.8,5.958122253417969,,6.3999998569488525
6057,1707179030.85,5.93512725830078,,6.449999809265137
6058,1707179030.9,5.901908874511719,,6.5
6059,1707179030.95,5.899360656738281,,6.549999952316284
6060,1707179031.0,5.845703125,,6.599999904632568
6061,1707179031.05,5.7716064453125,,6.6499998569488525
6062,1707179031.1,5.723060607910156,,6.699999809265137
6063,1707179031.15,5.7026214599609375,,6.75
6064,1707179031.2,5.64641571044922,,6.799999952316284
6065,1707179031.25,5.623420715332031,,6.849999904632568
6066,1707179031.3,5.6208648681640625,,6.8999998569488525
6067,1707179031.35,5.5927581787109375,,6.949999809265137
6068,1707179031.4,5.4266815185546875,,7.0
6069,1707179031.45,5.2529449462890625,,7.049999952316284
6070,1707179031.5,5.1226348876953125,,7.099999904632568
6071,1707179031.55,5.153297424316406,,7.1499998569488525
6072,1707179031.6,5.158409118652344,,7.199999809265137
6073,1707179031.65,5.1047515869140625,,7.25
6074,1707179031.7,5.0127716064453125,,7.299999952316284
6075,1707179031.75,4.954010009765625,,7.349999904632568
6076,1707179031.8,4.923347473144531,,7.3999998569488525
6077,1707179031.85,4.900352478027344,,7.449999809265137
6078,1707179031.9,4.818595886230469,,7.5
6079,1707179031.95,4.821144104003906,,7.549999952316284
6080,1707179032.0,4.854362487792969,,7.599999904632568
6081,1707179032.05,4.731719970703125,,7.6499998569488525
6082,1707179032.1,4.292259216308594,,7.699999809265137
6083,1707179032.15,3.9677734375,,7.75
6084,1707179032.2,3.5717544555664062,,7.799999952316284
6085,1707179032.25,3.3290252685546875,,7.849999904632568
6086,1707179032.3,2.9457778930664062,,7.8999998569488525
6087,1707179032.35,2.7183837890625,,7.949999809265137
6088,1707179032.4,2.4552154541015625,,8.0
6089,1707179032.45,2.376014709472656,,8.049999952316284
6090,1707179032.5,2.6468429565429688,,8.099999904632568
6091,1707179032.55,3.1067428588867188,,8.149999856948853
6092,1707179032.6,3.9320068359375,,8.199999809265137
6093,1707179032.65,4.437896728515625,,8.25
6094,1707179032.7,4.954010009765625,,8.299999952316284
6095,1707179032.75,5.281044006347656,,8.349999904632568
6096,1707179032.8,6.0986480712890625,,8.399999856948853
6097,1707179032.85,6.737396240234375,,8.449999809265137
6098,1707179032.9,7.238174438476563,,8.5
6099,1707179032.95,7.0542144775390625,,8.549999952316284
6100,1707179033.0,6.515113830566406,,8.599999904632568
